"id_girone", "id_giornata", "voto_casa", "voto_ospite", "mv_casa", "mv_ospite","tot_casa","tot_ospite","gol_casa","gol_ospite","casa","ospite"
"1","1","66","66","4","0","67","70","1","2","Organizzazione Zero","Azienda Paam"
"1","1","64,5","64,5","-1","0","65,5","63,5","1","0","Atletico ero na volta","Nuova Romanina"
"1","1","68,5","67","-1","-1","68,5","66","1","1","AS Venere","Vota Micheli"
"1","1","63,5","67","-1","0","64,5","66","0","1","Ronie Merda","AS Valle SantAndrea"
"1","1","66","74,5","1","0","67","75,5","1","3","Prosut!","Salsino Forever"
"1","1","70,5","69","0","-1","70,5","69","2","1","I NANI","Eni Cafè di B.A."
"1","2","66","77","2","0","67","79","1","3","Azienda Paam","Nuova Romanina"
"1","2","74,5","69","0","0","75,5","69","3","1","Vota Micheli","Atletico ero na volta"
"1","2","77,5","79","0","-2","76,5","79","3","3","AS Valle SantAndrea","AS Venere"
"1","2","68,5","54","0","0","69,5","54","1","0","Salsino Forever","Ronie Merda"
"1","2","62,5","75,5","-3","0","63,5","72,5","0","2","Eni Cafè di B.A.","Prosut!"
"1","2","70","79","1","2","73","80","2","4","Organizzazione Zero","I NANI"
"1","3","73","66","-2","0","74","64","2","0","I NANI","Azienda Paam"
"1","3","58,5","52,5","0","2","61,5","52,5","0","0","Nuova Romanina","Vota Micheli"
"1","3","67,5","50,5","2","3","71,5","52,5","2","0","Atletico ero na volta","AS Valle SantAndrea"
"1","3","66","71,5","0","0","67","71,5","1","2","AS Venere","Salsino Forever"
"1","3","76","74","-1","-2","75","73","3","2","Ronie Merda","Eni Cafè di B.A."
"1","3","75","73,5","-1","2","78","72,5","3","2","Prosut!","Organizzazione Zero"
"1","4","68","65","0","0","69","65","1","1","Azienda Paam","Vota Micheli"
"1","4","76","68,5","-1","0","77","67,5","3","1","AS Valle SantAndrea","Nuova Romanina"
"1","4","70,5","70,5","-2","-1","70,5","68,5","2","1","Salsino Forever","Atletico ero na volta"
"1","4","68","68","-1","-1","68","67","1","1","Eni Cafè di B.A.","AS Venere"
"1","4","72","70","-3","0","73","67","2","1","I NANI","Prosut!"
"1","4","61,5","76","0","-2","60,5","76","0","3","Organizzazione Zero","Ronie Merda"
"1","5","66","67","1","0","67","68","1","1","Prosut!","Azienda Paam"
"1","5","66,5","76,5","2","1","68,5","78,5","1","3","Vota Micheli","AS Valle SantAndrea"
"1","5","68","67,5","2","-1","68","69,5","1","1","Nuova Romanina","Salsino Forever"
"1","5","73,5","62","2","-1","73,5","64","2","0","Atletico ero na volta","Eni Cafè di B.A."
"1","5","76,5","61","-3","4","81,5","58","4","0","Ronie Merda","I NANI"
"1","5","68,5","68,5","-2","2","71,5","66,5","2","1","AS Venere","Organizzazione Zero"
"1","6","74,5","58,5","0","4","79,5","58,5","3","0","Azienda Paam","AS Valle SantAndrea"
"1","6","60","62,5","2","1","62","64,5","0","0","Salsino Forever","Vota Micheli"
"1","6","62,5","65","1","4","67,5","66","1","1","Eni Cafè di B.A.","Nuova Romanina"
"1","6","69,5","74,5","1","1","71,5","75,5","2","3","Prosut!","Ronie Merda"
"1","6","72","66,5","-2","-1","72","64,5","2","0","I NANI","AS Venere"
"1","6","62,5","60,5","0","0","63,5","60,5","0","0","Organizzazione Zero","Atletico ero na volta"
"1","7","81,5","65,5","-1","3","85,5","64,5","5","0","Ronie Merda","Azienda Paam"
"1","7","72","78","0","-2","71","78","2","3","AS Valle SantAndrea","Salsino Forever"
"1","7","62","62","1","-1","62","63","0","0","Vota Micheli","Eni Cafè di B.A."
"1","7","62","68","-1","0","63","67","0","1","AS Venere","Prosut!"
"1","7","72","70","2","2","75","72","3","2","Atletico ero na volta","I NANI"
"1","7","81","68,5","-1","4","86","67,5","5","1","Nuova Romanina","Organizzazione Zero"
"1","8","78,5","60,5","0","0","79,5","60,5","3","0","Azienda Paam","Salsino Forever"
"1","8","57,5","70","1","-2","56,5","71","0","2","Eni Cafè di B.A.","AS Valle SantAndrea"
"1","8","56","65","0","-1","56","65","0","1","Ronie Merda","AS Venere"
"1","8","72,5","76,5","0","-3","70,5","76,5","2","3","Prosut!","Atletico ero na volta"
"1","8","67","82","-1","-1","67","81","1","4","I NANI","Nuova Romanina"
"1","8","74","72","1","-2","73","73","2","2","Organizzazione Zero","Vota Micheli"
"1","9","80,5","67,5","-3","0","81,5","64,5","4","0","AS Venere","Azienda Paam"
"1","9","64,5","63","0","-2","63,5","63","0","0","Salsino Forever","Eni Cafè di B.A."
"1","9","70,5","63,5","2","0","71,5","65,5","2","1","Atletico ero na volta","Ronie Merda"
"1","9","70,5","76,5","0","-1","70,5","76,5","2","3","Nuova Romanina","Prosut!"
"1","9","73","71,5","-2","0","74","69,5","2","1","Vota Micheli","I NANI"
