Id;R;Nome;Squadra;Qt. A;Qt. I;Diff.
507;A;MURIEL;Atalanta;40;39;1
785;A;IMMOBILE;Lazio;39;38;1
2841;A;VLAHOVIC;Fiorentina;33;34;-1
608;A;ZAPATA D.;Atalanta;32;33;-1
2530;A;IBRAHIMOVIC;Milan;32;33;-1
409;A;INSIGNE;Napoli;32;32;0
2529;C;MKHITARYAN;Roma;31;30;1
2764;A;MARTINEZ L.;Inter;31;32;-1
4661;A;OSIMHEN;Napoli;31;33;-2
441;A;BELOTTI;Torino;31;30;1
647;A;DZEKO;Inter;30;29;1
531;A;BERARDI;Sassuolo;30;31;-1
2002;C;CHIESA;Juventus;29;29;0
2544;A;ABRAHAM;Roma;29;28;1
1874;A;JOAO PEDRO;Cagliari;28;26;2
1850;C;KESSIE';Milan;26;27;-1
309;A;DYBALA;Juventus;26;25;1
2819;A;CAPUTO;Sassuolo;26;26;0
4427;C;MALINOVSKYI;Atalanta;25;26;-1
645;C;MILINKOVIC-SAVIC;Lazio;25;24;1
2215;C;VERETOUT;Roma;25;23;2
4268;A;ARNAUTOVIC;Bologna;25;24;1
2160;D;GOSENS;Atalanta;24;25;-1
2085;C;LUIS ALBERTO;Lazio;24;25;-1
152;C;ZIELINSKI;Napoli;24;24;0
4517;A;LOZANO;Napoli;24;24;0
410;A;MERTENS;Napoli;24;25;-1
186;A;REBIC;Milan;23;23;0
530;C;PELLEGRINI LO.;Roma;22;22;0
2475;A;SANCHEZ;Inter;22;22;0
313;A;MORATA;Juventus;22;23;-1
568;A;QUAGLIARELLA;Sampdoria;22;22;0
2194;C;CALHANOGLU;Inter;21;19;2
177;A;ILICIC;Atalanta;21;21;0
4292;D;HERNANDEZ T.;Milan;20;21;-1
632;C;ZACCAGNI;Verona;20;18;2
472;A;DESTRO;Genoa;20;21;-1
495;A;CORREA;Inter;20;20;0
4200;A;GIROUD;Milan;20;20;0
5233;A;MAYORAL;Roma;20;21;-1
5336;A;NZOLA;Spezia;20;20;0
697;D;CUADRADO;Juventus;19;18;1
2625;C;SORIANO;Bologna;19;20;-1
1870;C;BARELLA;Inter;19;18;1
2833;C;KULUSEVSKI;Juventus;19;20;-1
536;A;POLITANO;Napoli;19;19;0
2077;C;PASALIC;Atalanta;18;18;0
2167;C;ORSOLINI;Bologna;18;18;0
2766;C;ZANIOLO;Roma;18;19;-1
332;C;CANDREVA;Sampdoria;18;18;0
302;C;PEREYRA;Udinese;18;17;1
247;A;PAVOLETTI;Cagliari;18;18;0
1997;A;SIMY;Salernitana;18;18;0
250;P;HANDANOVIC;Inter;17;17;0
2172;C;BARAK;Verona;17;17;0
2719;A;BARROW;Bologna;17;18;-1
2832;A;BOGA;Sassuolo;17;17;0
4371;A;RASPADORI;Sassuolo;17;16;1
2792;P;MUSSO;Atalanta;16;16;0
453;P;SZCZESNY;Juventus;16;17;-1
798;D;SKRINIAR;Inter;16;15;1
335;C;FELIPE ANDERSON;Lazio;16;16;0
2775;C;RUIZ;Napoli;16;17;-1
1995;C;DJURICIC;Sassuolo;16;15;1
827;C;LOCATELLI;Juventus;16;16;0
4179;A;GONZALEZ N.;Fiorentina;16;16;0
5311;A;SHOMURODOV;Roma;16;16;0
4312;P;MAIGNAN;Milan;15;15;0
554;D;ZAPPACOSTA;Atalanta;15;15;0
788;C;FREULER;Atalanta;15;15;0
5001;C;MIRANCHUK;Atalanta;15;15;0
4973;C;MCKENNIE;Juventus;15;15;0
2857;C;TRAORE' HJ.;Sassuolo;15;14;1
236;C;LAZOVIC;Verona;15;15;0
407;A;GABBIADINI;Sampdoria;15;16;-1
479;A;SANABRIA;Torino;15;15;0
387;P;REINA;Lazio;14;14;0
572;P;MERET;Napoli;14;14;0
4270;P;RUI PATRICIO;Roma;14;14;0
322;D;DE VRIJ;Inter;14;14;0
4237;D;DANILO;Juventus;14;14;0
2296;D;MANCINI;Roma;14;14;0
581;D;FARAONI;Verona;14;14;0
2741;C;PESSINA;Atalanta;14;14;0
4377;C;CASTROVILLI;Fiorentina;14;14;0
265;C;BROZOVIC;Inter;14;14;0
4825;C;DIAZ B.;Milan;14;13;1
4978;C;DAMSGAARD;Sampdoria;14;14;0
2284;A;CAICEDO;Lazio;14;14;0
4510;A;RAFAEL LEAO;Milan;14;14;0
2137;A;SCAMACCA;Sassuolo;14;14;0
4992;A;GYASI;Spezia;14;13;1
215;A;VERDE;Spezia;14;14;0
2155;A;CUTRONE;Empoli;14;14;0
2130;D;HATEBOER;Atalanta;13;13;0
1852;D;SPINAZZOLA;Roma;13;13;0
704;C;PERISIC;Inter;13;13;0
4988;C;MAGGIORE;Spezia;13;13;0
5292;A;LAMMERS;Atalanta;13;13;0
4359;A;PICCOLI;Atalanta;13;12;1
2061;A;SIMEONE;Verona;13;13;0
5454;A;MANCUSO;Empoli;13;13;0
2826;A;PUSSETTO;Udinese;13;13;0
761;P;AUDERO;Sampdoria;12;12;0
509;P;CONSIGLI;Sassuolo;12;12;0
286;D;BONUCCI;Juventus;12;12;0
4428;D;DE LIGT;Juventus;12;12;0
513;D;ACERBI;Lazio;12;12;0
357;D;CALABRIA;Milan;12;11;1
2633;D;KJAER;Milan;12;12;0
4751;D;TOMORI;Milan;12;12;0
392;D;KOULIBALY;Napoli;12;12;0
2180;D;KARSDORP;Roma;12;12;0
2788;D;BREMER;Torino;12;12;0
4998;D;MOLINA N.;Udinese;12;12;0
5513;D;DUMFRIES;Inter;12;12;0
2744;C;SVANBERG;Bologna;12;12;0
4965;C;MARIN;Cagliari;12;12;0
4514;C;NANDEZ;Cagliari;12;12;0
643;A;DEFREL;Sassuolo;12;12;0
2119;A;DEULOFEU;Udinese;12;11;1
4324;A;OKAKA;Udinese;12;12;0
90;A;LASAGNA;Verona;12;12;0
2489;A;PEDRO;Lazio;12;12;0
5529;A;HENRY;Venezia;12;12;0
2164;D;MILENKOVIC;Fiorentina;11;10;1
2120;D;BASTONI;Inter;11;11;0
662;D;ALEX SANDRO;Juventus;11;11;0
2263;D;LAZZARI;Lazio;11;10;1
2816;D;DI LORENZO;Napoli;11;11;0
706;D;ANSALDI;Torino;11;11;0
22;C;DE ROON;Atalanta;11;11;0
470;C;STROOTMAN;Cagliari;11;11;0
5451;C;BAJRAMI;Empoli;11;10;1
367;C;BONAVENTURA;Fiorentina;11;11;0
4892;C;SAELEMAEKERS;Milan;11;11;0
376;C;VERDI;Torino;11;11;0
383;A;PETAGNA;Napoli;11;11;0
795;A;EL SHAARAWY;Roma;11;11;0
315;A;ZAZA;Torino;11;11;0
245;A;PANDEV;Genoa;11;12;-1
2178;P;CRAGNO;Cagliari;10;10;0
1917;P;DRAGOWSKI;Fiorentina;10;11;-1
2211;P;SILVESTRI;Udinese;10;10;0
787;D;DJIMSITI;Atalanta;10;10;0
4422;D;TOMIYASU;Bologna;10;10;0
4245;D;SMALLING;Roma;10;10;0
1895;D;FERRARI G.;Sassuolo;10;10;0
288;D;CHIELLINI;Juventus;10;10;0
2154;C;VIGNATO;Bologna;10;10;0
2414;C;VIDAL;Inter;10;8;2
2166;C;BENTANCUR;Juventus;10;9;1
4725;C;DEMME;Napoli;10;10;0
1933;C;MANDRAGORA;Torino;10;10;0
1980;C;ARAMU;Venezia;10;10;0
537;A;SANSONE;Bologna;10;9;1
1958;A;CAPRARI;Sampdoria;10;10;0
133;P;SKORUPSKI;Bologna;9;9;0
2170;P;MILINKOVIC-SAVIC V.;Torino;9;9;0
4957;P;MONTIPO';Verona;9;9;0
5375;D;MAEHLE;Atalanta;9;9;0
695;D;TOLOI;Atalanta;9;9;0
487;D;DE SILVESTRI;Bologna;9;7;2
252;D;BIRAGHI;Fiorentina;9;9;0
2525;D;DARMIAN;Inter;9;9;0
459;D;MANOLAS;Napoli;9;9;0
464;D;FLORENZI;Milan;9;9;0
4421;D;AUGELLO;Sampdoria;9;9;0
2784;D;COLLEY;Sampdoria;9;9;0
4895;D;YOSHIDA;Sampdoria;9;9;0
2280;D;NUYTINCK;Udinese;9;10;-1
5509;D;VINA;Roma;9;9;0
4415;C;SKOV OLSEN;Bologna;9;9;0
2379;C;RABIOT;Juventus;9;9;0
4479;C;ELMAS;Napoli;9;7;2
4404;C;THORSBY;Sampdoria;9;9;0
2009;C;LUKIC;Torino;9;9;0
5501;C;SIGURDSSON A.;Venezia;9;9;0
1972;C;TORREIRA;Fiorentina;9;9;0
505;A;BONAZZOLI;Salernitana;9;8;1
311;A;LLORENTE;Udinese;9;9;0
1943;A;NESTOROVSKI;Udinese;9;9;0
5495;A;FORTE;Venezia;9;9;0
652;A;KALINIC;Verona;9;9;0
5506;A;EKUBAN;Genoa;9;9;0
2181;D;PALOMINO;Atalanta;8;8;0
2572;D;GODIN;Cagliari;8;8;0
2653;D;LYKOGIANNIS;Cagliari;8;8;0
2759;D;CRISCITO;Genoa;8;8;0
254;D;DIMARCO;Inter;8;8;0
2335;D;LUIZ FELIPE;Lazio;8;7;1
4331;D;IBANEZ;Roma;8;7;1
5332;D;BASTONI S.;Spezia;8;7;1
4982;D;ERLIC;Spezia;8;7;1
226;D;IZZO;Torino;8;8;0
4886;C;PEREIRO;Cagliari;8;8;0
644;C;PULGAR;Fiorentina;8;8;0
150;C;SAPONARA;Fiorentina;8;8;0
2839;C;SOTTIL;Fiorentina;8;8;0
170;C;BADELJ;Genoa;8;8;0
2472;C;RAMSEY;Juventus;8;8;0
2209;C;LUCAS LEIVA;Lazio;8;8;0
600;C;VERRE;Sampdoria;8;8;0
2848;C;FRATTESI;Sassuolo;8;7;1
4681;C;LOPEZ M.;Sassuolo;8;8;0
5287;C;ARSLAN;Udinese;8;8;0
5487;C;HEYMANS;Venezia;8;8;0
5511;C;MATHEUS HENRIQUE;Sassuolo;8;8;0
5007;C;ILIC;Verona;8;8;0
5674;C;BASIC;Lazio;8;8;0
4884;A;CARLES PEREZ;Roma;8;8;0
475;A;IAGO FALQUE;Torino;8;8;0
2179;P;SIRIGU;Genoa;7;8;-1
2192;D;BONIFAZI;Bologna;7;7;0
4891;D;SOUMAORO;Bologna;7;7;0
4461;D;ZAPPA;Cagliari;7;7;0
460;D;ROMAGNOLI;Milan;7;7;0
2104;D;BERESZYNSKI;Sampdoria;7;7;0
4521;D;MULDUR;Sassuolo;7;7;0
5475;D;AMIAN;Spezia;7;6;1
4899;D;SINGO;Torino;7;6;1
790;D;SAMIR;Udinese;7;7;0
2315;D;STRYGER LARSEN;Udinese;7;7;0
4323;D;ZEEGELAAR;Udinese;7;7;0
770;D;PEZZELLA GIU.;Atalanta;7;7;0
5514;D;VASQUEZ;Genoa;7;7;0
2453;D;NASTASIC;Fiorentina;7;7;0
5675;D;THEATE;Bologna;7;7;0
5677;D;PEREZ N.;Udinese;7;7;0
4393;C;SCHOUTEN;Bologna;7;7;0
2076;C;ROG;Cagliari;7;7;0
2161;C;HAAS;Empoli;7;7;0
4522;C;AMRABAT;Fiorentina;7;7;0
406;C;CALLEJON;Fiorentina;7;7;0
4515;C;AGUDELO;Genoa;7;7;0
1978;C;SENSI;Inter;7;7;0
2818;C;BENNACER;Milan;7;7;0
779;C;CRISTANTE;Roma;7;7;0
2011;C;MIGUEL VELOSO;Verona;7;8;-1
4890;C;TAMEZE;Verona;7;7;0
4477;A;LA MANTIA;Empoli;7;7;0
2038;A;PINAMONTI;Empoli;7;7;0
2195;A;OUNAS;Napoli;7;7;0
4453;A;TORREGROSSA;Sampdoria;7;7;0
5515;A;OKEREKE;Venezia;7;7;0
5676;A;SUCCESS;Udinese;7;7;0
5005;P;ZOET;Spezia;6;7;-1
2746;D;DIJKS;Bologna;6;6;0
1866;D;CEPPITELLI;Cagliari;6;6;0
4374;D;WALUKIEWICZ;Cagliari;6;6;0
791;D;SABELLI;Genoa;6;6;0
2328;D;VANHEUSDEN;Genoa;6;6;0
140;D;HYSAJ;Lazio;6;6;0
2188;D;MARUSIC;Lazio;6;6;0
142;D;MARIO RUI;Napoli;6;5;1
4495;D;KUMBULLA;Roma;6;6;0
640;D;CHIRICHES;Sassuolo;6;6;0
4530;D;KYRIAKOPOULOS;Sassuolo;6;6;0
2318;D;ROGERIO;Sassuolo;6;6;0
5010;D;ISMAJLI;Empoli;6;6;0
2724;D;BUONGIORNO;Torino;6;6;0
4994;D;VOJVODA;Torino;6;6;0
5483;D;SCHNEGG;Venezia;6;6;0
4493;D;DAWIDOWICZ;Verona;6;6;0
2758;D;GUNTER;Verona;6;6;0
4869;C;DOMINGUEZ;Bologna;6;6;0
801;C;GAGLIARDINI;Inter;6;6;0
2692;C;CASTILLEJO;Milan;6;6;0
148;C;KRUNIC;Milan;6;5;1
5298;C;POBEGA;Torino;6;6;0
2703;C;ADRIEN SILVA;Sampdoria;6;6;0
2391;C;EKDAL;Sampdoria;6;6;0
5312;C;LEO' SENA;Spezia;6;6;0
2008;C;LINETTY;Torino;6;6;0
238;C;RINCON;Torino;6;6;0
2144;C;COULIBALY M.;Salernitana;6;4;2
2392;C;WALACE;Udinese;6;6;0
5488;C;FIORDILINO;Venezia;6;6;0
4423;C;HERNANI;Genoa;6;6;0
1879;A;FARIAS;Cagliari;6;6;0
5471;A;DJURIC;Salernitana;6;6;0
4964;P;VICARIO;Empoli;5;6;-1
720;P;BELEC;Salernitana;5;5;0
158;P;LEZZERINI;Venezia;5;5;0
2739;D;RECA;Atalanta;5;5;0
4925;D;CARBONI;Cagliari;5;5;0
2289;D;DALBERT;Cagliari;5;5;0
4329;D;NIKOLAOU;Spezia;5;5;0
76;D;ROMAGNOLI S.;Empoli;5;5;0
5450;D;STOJANOVIC;Empoli;5;5;0
5323;D;MARTINEZ QUARTA;Fiorentina;5;5;0
2083;D;BIRASCHI;Genoa;5;5;0
253;D;D'AMBROSIO;Inter;5;5;0
4332;D;DEMIRAL;Atalanta;5;5;0
294;D;RUGANI;Juventus;5;5;0
329;D;RADU;Lazio;5;5;0
5017;D;BALLO-TOURE';Milan;5;5;0
4409;D;RRAHMANI;Napoli;5;5;0
2208;D;JAROSZYNSKI;Salernitana;5;5;0
144;D;TONELLI;Empoli;5;5;0
418;D;GOLDANIGA;Sassuolo;5;5;0
2252;D;MARCHIZZA;Empoli;5;5;0
4426;D;TOLJAN;Sassuolo;5;5;0
2865;D;AINA;Torino;5;5;0
2169;D;RODRIGUEZ R.;Torino;5;5;0
4412;D;RODRIGO BECAO;Udinese;5;5;0
5479;D;CECCARONI;Venezia;5;5;0
