Quotazioni Fantacalcio Stagione 2022 23;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
572;P;Por;Meret;Napoli;18;14;4;18;14;4;74;74
2814;P;Por;Provedel;Lazio;16;7;9;16;7;9;63;63
4964;P;Por;Vicario;Empoli;16;9;7;16;9;7;37;37
453;P;Por;Szczesny;Juventus;14;16;-2;14;16;-2;62;62
2134;P;Por;Falcone;Lecce;14;5;9;14;5;9;25;25
2211;P;Por;Silvestri;Udinese;14;10;4;14;10;4;34;34
4270;P;Por;Rui Patricio;Roma;14;14;0;14;14;0;60;60
5830;P;Por;Onana;Inter;13;1;12;13;1;12;54;54
159;P;Por;Sepe;Salernitana;12;8;4;12;8;4;11;11
2170;P;Por;Milinkovic-Savic V.;Torino;12;1;11;12;1;11;35;35
2792;P;Por;Musso;Atalanta;12;13;-1;12;13;-1;46;46
4312;P;Por;Maignan;Milan;12;18;-6;12;18;-6;60;60
4431;P;Por;Carnesecchi;Cremonese;12;1;11;12;1;11;16;16
5876;P;Por;Di Gregorio;Monza;12;1;11;12;1;11;35;35
761;P;Por;Audero;Sampdoria;11;10;1;11;10;1;12;12
4957;P;Por;Montipo';Verona;11;11;0;11;11;0;18;18
133;P;Por;Skorupski;Bologna;9;11;-2;9;11;-2;20;20
509;P;Por;Consigli;Sassuolo;9;11;-2;9;11;-2;22;22
1917;P;Por;Dragowski;Spezia;9;7;2;9;7;2;20;20
2815;P;Por;Terracciano;Fiorentina;9;1;8;9;1;8;40;40
160;P;Por;Tatarusanu;Milan;8;1;7;8;1;7;4;4
250;P;Por;Handanovic;Inter;8;16;-8;8;16;-8;4;4
4;P;Por;Sportiello;Atalanta;7;1;6;7;1;6;1;1
218;P;Por;Perin;Juventus;7;1;6;7;1;6;4;4
5005;P;Por;Zoet;Spezia;5;1;4;5;1;4;1;1
6120;P;Por;Ochoa;Salernitana;4;2;2;4;2;2;11;11
510;P;Por;Pegolo;Sassuolo;2;1;1;2;1;1;1;1
610;P;Por;Gollini;Napoli;2;12;-10;2;12;-10;1;1
41;P;Por;Mirante;Milan;1;1;0;1;1;0;1;1
42;P;Por;Sarr M.;Cremonese;1;1;0;1;1;0;1;1
217;P;Por;Lamanna;Monza;1;1;0;1;1;0;1;1
220;P;Por;Ujkani;Empoli;1;1;0;1;1;0;1;1
316;P;Por;Berisha;Torino;1;11;-10;1;11;-10;1;1
318;P;Por;Marchetti;Spezia;1;1;0;1;1;0;1;1
511;P;Por;Perilli;Verona;1;1;0;1;1;0;1;1
543;P;Por;Padelli;Udinese;1;1;0;1;1;0;1;1
673;P;Por;Perisan;Empoli;1;1;0;1;1;0;1;1
799;P;Por;Bardi;Bologna;1;1;0;1;1;0;1;1
1889;P;Por;Cordaz;Inter;1;1;0;1;1;0;1;1
1930;P;Por;Pinsoglio;Juventus;1;1;0;1;1;0;1;1
1947;P;Por;Fiorillo;Salernitana;1;1;0;1;1;0;1;1
2178;P;Por;Cragno;Monza;1;11;-10;1;11;-10;1;1
2179;P;Por;Sirigu;Fiorentina;1;1;0;1;1;0;1;1
2294;P;Por;Cerofolini;Fiorentina;1;1;0;1;1;0;1;1
2297;P;Por;Rossi F.;Atalanta;1;1;0;1;1;0;1;1
2722;P;Por;Ravaglia F.;Bologna;1;1;0;1;1;0;1;1
4351;P;Por;Brancolini;Lecce;1;1;0;1;1;0;1;1
4468;P;Por;Bleve;Lecce;1;1;0;1;1;0;1;1
4491;P;Por;Berardi A.;Verona;1;1;0;1;1;0;1;1
4518;P;Por;Russo A.;Sassuolo;1;1;0;1;1;0;1;1
4525;P;Por;Gemello;Torino;1;1;0;1;1;0;1;1
4977;P;Por;Ravaglia;Sampdoria;1;1;0;1;1;0;1;1
5304;P;Por;Boer;Roma;1;1;0;1;1;0;1;1
5502;P;Por;Adamonis;Lazio;1;1;0;1;1;0;1;1
5518;P;Por;Marfella;Napoli;1;1;0;1;1;0;1;1
5528;P;Por;Zovko;Spezia;1;1;0;1;1;0;1;1
5707;P;Por;Piana;Udinese;1;1;0;1;1;0;1;1
5822;P;Por;Bagnolini;Bologna;1;1;0;1;1;0;1;1
5832;P;Por;Luis Maximiano;Lazio;1;12;-11;1;12;-11;1;1
5841;P;Por;Svilar;Roma;1;1;0;1;1;0;1;1
5853;P;Por;Sorrentino A.;Monza;1;1;0;1;1;0;1;1
5887;P;Por;Ciezkowski;Cremonese;1;1;0;1;1;0;1;1
6029;P;Por;Saro;Cremonese;1;1;0;1;1;0;1;1
6125;P;Por;Vasquez D.;Milan;1;1;0;1;1;0;1;1
6135;P;Por;Turk;Sampdoria;1;1;0;1;1;0;1;1
254;D;"Ds;Dc;E";Dimarco;Inter;19;8;11;19;9;10;47;50
4245;D;Dc;Smalling;Roma;19;14;5;19;14;5;40;41
5851;D;"Ds;E";Doig;Verona;18;6;12;18;6;12;47;47
5877;D;"Ds;E";Carlos Augusto;Monza;18;8;10;18;8;10;37;37
5892;D;Dc;Kim;Napoli;16;13;3;16;13;3;43;44
6066;D;"Dd;Dc";Posch;Bologna;16;8;8;16;9;7;26;27
2816;D;"Dd;E";Di Lorenzo;Napoli;15;15;0;15;15;0;48;48
4237;D;"Dd;Ds;E";Danilo;Juventus;15;12;3;15;14;1;43;44
4292;D;"Ds;E";Hernandez T.;Milan;15;20;-5;15;22;-7;56;56
5355;D;"Ds;E";Udogie;Udinese;15;13;2;15;13;2;38;38
5449;D;"Ds;E";Parisi;Empoli;15;8;7;15;8;7;23;23
142;D;"Ds;E";Mario Rui;Napoli;14;9;5;14;9;5;39;39
460;D;Dc;Romagnoli;Lazio;14;11;3;14;11;3;29;30
5332;D;"E;C";Bastoni S.;Spezia;14;12;2;14;13;1;23;23
5481;D;"Dd;E";Mazzocchi;Salernitana;14;7;7;14;7;7;20;20
5862;D;"Ds;E";Valeri;Cremonese;14;5;9;14;5;9;20;20
4751;D;Dc;Tomori;Milan;13;15;-2;13;15;-2;29;30
5526;D;Dc;Scalvini;Atalanta;13;6;7;13;6;7;24;25
695;D;Dc;Toloi;Atalanta;12;8;4;12;8;4;18;19
4332;D;Dc;Demiral;Atalanta;12;13;-1;12;13;-1;23;24
5375;D;E;Maehle;Atalanta;12;8;4;11;7;4;24;22
5513;D;E;Dumfries;Inter;12;20;-8;11;19;-8;34;32
5835;D;"Dd;Ds;Dc";Baschirotto;Lecce;12;2;10;12;2;10;34;34
5847;D;Dc;Bijol;Udinese;12;5;7;12;5;7;15;15
6041;D;Dc;Schuurs;Torino;12;9;3;12;9;3;33;34
256;D;"Ds;Dc";Juan Jesus;Napoli;11;7;4;11;7;4;16;16
2141;D;"Dd;E";Depaoli;Verona;11;4;7;11;4;7;13;13
2296;D;Dc;Mancini;Roma;11;10;1;11;10;1;26;27
4331;D;Dc;Ibanez;Roma;11;9;2;11;9;2;18;19
4412;D;Dc;Rodrigo Becao;Udinese;11;10;1;11;10;1;18;19
5480;D;"Dd;E";Ebuehi;Empoli;11;3;8;11;3;8;10;10
2160;D;E;Gosens;Inter;10;19;-9;10;18;-8;11;10
2525;D;E;Darmian;Inter;10;9;1;10;8;2;20;19
2739;D;"Ds;E";Reca;Spezia;10;5;5;10;5;5;19;19
2788;D;Dc;Bremer;Juventus;10;18;-8;10;18;-8;31;32
2847;D;"Ds;Dc;E";Sernicola;Cremonese;10;3;7;10;4;6;14;15
4409;D;Dc;Rrahmani;Napoli;10;14;-4;10;14;-4;36;36
4994;D;E;Vojvoda;Torino;10;9;1;10;9;1;15;14
5678;D;"Dd;E";Holm;Spezia;10;2;8;11;3;8;20;20
2120;D;Dc;Bastoni;Inter;9;15;-6;9;15;-6;32;32
2164;D;"Dd;Dc";Milenkovic;Fiorentina;9;11;-2;9;12;-3;28;29
4976;D;"Dd;Dc";Kalulu;Milan;9;14;-5;9;15;-6;27;28
5323;D;Dc;Martinez Quarta;Fiorentina;9;4;5;9;4;5;14;14
5498;D;"Dd;Dc";Casale;Lazio;9;9;0;9;10;-1;29;30
5677;D;Dc;Perez N.;Udinese;9;8;1;9;8;1;16;17
5840;D;"Ds;E";Olivera;Napoli;9;7;2;9;7;2;8;8
226;D;"Dd;Dc";Izzo;Monza;8;3;5;8;3;5;20;20
393;D;"Ds;Dc";Luperto;Empoli;8;5;3;8;6;2;15;16
798;D;Dc;Skriniar;Inter;8;17;-9;8;16;-8;21;21
2169;D;"Ds;Dc;E";Rodriguez R.;Torino;8;7;1;8;8;0;13;14
2188;D;"Dd;Ds;E";Marusic;Lazio;8;7;1;9;8;1;19;20
