Calciatori Ceduti 2022 23;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
1843;P;Por;Radu I.;Cremonese;3;5;-2;3;5;-2;0;0
2127;P;Por;Satalino;Sassuolo;1;1;0;1;1;0;0;0
2790;P;Por;Rosati;Fiorentina;1;1;0;1;1;0;0;0
2845;P;Por;Contini;Sampdoria;1;1;0;1;1;0;0;0
5333;P;Por;Gasparini;Udinese;1;1;0;1;1;0;0;0
5448;P;Por;Furlan;Empoli;1;1;0;1;1;0;0;0
5682;P;Por;Molla;Bologna;1;1;0;1;1;0;0;0
5704;P;Por;Russo;Salernitana;1;1;0;1;1;0;0;0
5889;P;Por;Micai;Salernitana;1;1;0;1;1;0;0;0
5890;P;Por;Chiesa M.;Verona;1;1;0;1;1;0;0;0
4998;D;E;Molina N.;Udinese;15;15;0;15;15;0;0;0
5675;D;Dc;Theate;Bologna;10;10;0;10;10;0;0;0
5693;D;Dc;Kiwior;Spezia;7;6;1;7;6;1;0;0
5718;D;Dc;Viti;Empoli;6;6;0;6;6;0;0;0
261;D;Dc;Ranocchia;Monza;4;6;-2;4;6;-2;0;0
729;D;"Dd;E";Pereira P.;Monza;4;4;0;4;4;0;0;0
5793;D;"Dd;E";Kasius;Bologna;4;2;2;4;2;2;0;0
1898;D;"Dd;Dc;E";Sampirisi;Monza;3;3;0;3;3;0;0;0
2300;D;Dc;Leverbe;Sampdoria;3;4;-1;3;4;-1;0;0
2312;D;Dc;Hristov;Spezia;3;3;0;3;3;0;0;0
2745;D;"Dd;Dc";Calabresi;Lecce;3;3;0;3;3;0;0;0
4758;D;Dc;Benkovic;Udinese;3;4;-1;3;4;-1;0;0
4946;D;"Ds;E";Frabotta;Lecce;3;4;-1;3;4;-1;0;0
4979;D;"Dd;Dc";Ayhan;Sassuolo;3;5;-2;3;6;-3;0;0
5860;D;Dc;Ravanelli;Cremonese;3;3;0;3;3;0;0;0
73;D;"Ds;Dc";Gagliolo;Salernitana;2;2;0;2;2;0;0;0
118;D;Dc;Radovanovic;Salernitana;2;5;-3;2;5;-3;0;0
2668;D;"Dd;Ds;Dc";Retsos;Verona;2;1;1;2;1;1;0;0
2746;D;"Ds;E";Dijks;Bologna;2;3;-1;2;3;-1;0;0
6064;D;Dc;Hendry;Cremonese;2;4;-2;2;4;-2;0;0
50;D;"Dd;Ds;E";Mbaye;Bologna;1;1;0;1;1;0;0;0
454;D;Dc;Capradossi;Spezia;1;2;-1;1;2;-1;0;0
2064;D;"Dd;Ds;Dc";Veseli;Salernitana;1;1;0;1;1;0;0;0
2208;D;"Ds;Dc;E";Jaroszynski;Salernitana;1;1;0;1;1;0;0;0
2453;D;Dc;Nastasic;Fiorentina;1;1;0;1;1;0;0;0
2737;D;Dc;Bettella;Monza;1;1;0;1;1;0;0;0
4519;D;Dc;Cetin;Lecce;1;5;-4;1;5;-4;0;0
4925;D;"Ds;Dc";Carboni;Monza;1;5;-4;1;6;-5;0;0
4945;D;"Ds;E";Calafiori;Roma;1;2;-1;1;2;-1;0;0
4985;D;"Dd;E";Vignali;Spezia;1;1;0;1;1;0;0;0
5456;D;"Dd;E";Ferrarini;Monza;1;1;0;1;1;0;0;0
