Id;R;RM;Nome;Squadra;Qt.A;FVM;Indice appetibilità;Titolarita;Rigori;Punizioni;angoli;Indice Squadra;Fascia;Offerta max;Note
4;P;Por;Sportiello;Atalanta;1;1;24;3;;;;;;0;
11;D;"Dd;E";Conti;Sampdoria;3;4;68;5;;;;;;2;rientro a settembre
21;C;"E;W";D'alessandro;Monza;2;1;57;3;;;;;;0;
22;C;M;De Roon;Atalanta;7;10;65;6;;;;;;4;
27;C;"M;C";Grassi;Empoli;6;10;61;6;;3;;;;4;
41;P;Por;Mirante;Milan;1;1;5;1;;;;;;0;
42;P;Por;Sarr M.;Cremonese;1;1;30;3;;;;;;0;
45;D;"Dd;Dc";Ferrari A.;Sampdoria;5;10;70;8;;;;;;4;
49;D;"Ds;Dc;E";Masina;Udinese;7;10;67;6;;;;;;4;
50;D;"Dd;Ds;E";Mbaye;Bologna;1;1;62;3;;;;;;0;
58;C;"M;C";Diawara;Roma;2;1;24;1;;;;;;0;
84;D;Dc;Marrone;Monza;4;2;55;3;;;;;;1;
90;A;Pc;Lasagna;Verona;12;35;72;8;;;;;;14;
118;D;Dc;Radovanovic;Salernitana;5;5;63;7;;2;;;;2;
133;P;Por;Skorupski;Bologna;11;20;75;9;;;;;;8;
139;D;Dc;Dermaku;Lecce;4;6;60;7;;;;;;2;rientro inizio settembre
140;D;"Dd;Ds;E";Hysaj;Lazio;6;8;63;5;;;;;;3;
142;D;"Ds;E";Mario Rui;Napoli;9;17;77;7;;2;;;;7;
144;D;Dc;Tonelli;Empoli;1;1;44;4;;;;;;0;crociato, rientro ottobre
148;C;"C;T";Krunic;Milan;7;8;45;3;;;;;;3;stiramento muscolare, da valutare
150;C;"W;T";Saponara;Fiorentina;11;17;74;6;;;;;;7;
152;C;"C;T";Zielinski;Napoli;20;60;79;7;;3;;;;24;
159;P;Por;Sepe;Salernitana;9;14;69;9;;;;;;6;
160;P;Por;Tatarusanu;Milan;1;1;15;2;;;;;;0;
173;C;"M;C";Capezzi;Salernitana;1;1;40;3;;;;;;0;
177;A;A;Ilicic;Atalanta;11;12;58;4;;;;;;5;forse bologna
181;C;"M;C";Vecino;Lazio;6;10;73;6;;;;;;4;
186;A;A;Rebic;Milan;16;41;68;5;;;;;;16;
212;A;Pc;Ciofani D.;Cremonese;1;1;66;5;;;;;;0;
215;A;A;Verde;Spezia;18;46;73;8;2;1;;;;18;possibile rientro alla terza
217;P;Por;Lamanna;Monza;1;1;5;1;;;;;;0;
218;P;Por;Perin;Juventus;2;5;50;4;;;;;;2;
226;D;"Dd;Dc";Izzo;Torino;3;4;72;8;;;;;;2;
236;C;"E;W";Lazovic;Verona;13;24;74;8;;1;;;;10;
238;C;M;Rincon;Sampdoria;6;8;67;7;;;;;;3;
244;D;"Dd;E";Ghiglione;Cremonese;6;10;70;9;;;;;;4;
250;P;Por;Handanovic;Inter;16;60;92;8;;;;;;24;
252;D;"Ds;E";Biraghi;Fiorentina;13;37;79;9;;1;;;;15;
253;D;"Dd;Ds;Dc";D'ambrosio;Inter;8;10;62;5;;;;;;4;
254;D;"Ds;Dc;E";Dimarco;Inter;8;15;65;5;;2;;;;6;
256;D;"Ds;Dc";Juan Jesus;Napoli;7;10;64;5;;;;;;4;
259;D;Dc;Murillo;Sampdoria;3;7;;;;;;;;3;
261;D;Dc;Ranocchia;Monza;6;9;72;8;;;;;;4;
