Statistiche Fantacalcio 2021-22 Italia ;;;;;;;;;;;;;;;;
Id;R;Nome;Squadra;Pg;Mv;Mf;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
3;P;RADUNOVIC;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
4;P;SPORTIELLO;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
11;D;CONTI;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
22;C;DE ROON;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
27;C;GRASSI;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
42;P;SARR M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
45;D;FERRARI A.;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
50;D;MBAYE;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
58;C;DIAWARA;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
76;D;ROMAGNOLI S.;Empoli;1;5;5;0;0;0;0;0;0;0;0;0;0
90;A;LASAGNA;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
118;D;RADOVANOVIC;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
133;P;SKORUPSKI;Bologna;1;6;4;0;2;0;0;0;0;0;0;0;0
140;D;HYSAJ;Lazio;1;6;6;0;0;0;0;0;0;0;0;0;0
142;D;MARIO RUI;Napoli;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
144;D;TONELLI;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
148;C;KRUNIC;Milan;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
150;C;SAPONARA;Fiorentina;1;0;0;0;0;0;0;0;0;0;0;0;0
152;C;ZIELINSKI;Napoli;1;6;6;0;0;0;0;0;0;0;0;0;0
