Statistiche Fantacalcio Stagione 2022 23  Italia;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
572;P;Por;Meret;Napoli;34;6,18;5,56;0;24;1;0;0;0;0;0;0;0
2814;P;Por;Provedel;Lazio;38;6,26;5,46;0;30;0;0;0;0;0;1;0;0
4312;P;Por;Maignan;Milan;22;6,2;5,39;0;21;1;0;0;0;0;0;0;0
4964;P;Por;Vicario;Empoli;31;6,42;5,21;0;39;1;0;0;0;0;3;0;0
453;P;Por;Szczesny;Juventus;28;6,09;5,16;0;26;0;0;0;0;0;0;0;0
133;P;Por;Skorupski;Bologna;37;6,16;4,95;0;49;2;0;0;0;0;4;0;0
2134;P;Por;Falcone;Lecce;38;6,29;5,13;0;46;1;0;0;0;0;2;0;0
2211;P;Por;Silvestri;Udinese;38;6,25;4,99;0;48;0;0;0;0;0;0;0;0
4270;P;Por;Rui Patricio;Roma;35;6,06;5,13;0;35;1;0;0;0;0;1;0;0
5876;P;Por;Di Gregorio;Monza;37;6,3;5;0;49;0;0;0;0;1;0;0;0
2170;P;Por;Milinkovic-Savic V.;Torino;38;6,04;4,91;0;41;0;0;0;0;0;4;0;0
5830;P;Por;Onana;Inter;24;6,15;5,04;0;24;0;0;0;0;0;1;0;1
4;P;Por;Sportiello;Atalanta;15;6,07;4,67;0;21;0;0;0;0;0;0;0;0
1917;P;Por;Dragowski;Spezia;34;6,26;4,78;0;54;1;0;0;0;1;1;0;0
2815;P;Por;Terracciano;Fiorentina;29;5,97;4,74;0;38;1;0;0;0;0;1;0;0
4431;P;Por;Carnesecchi;Cremonese;27;6,37;4,65;0;47;0;0;0;0;1;1;0;0
4957;P;Por;Montipo';Verona;37;6,2;4,68;0;59;1;0;0;0;0;1;0;0
6120;P;Por;Ochoa;Salernitana;20;6,45;4,92;0;33;1;0;0;0;0;1;0;0
218;P;Por;Perin;Juventus;11;6,36;6;0;7;1;0;0;0;0;0;0;0
2294;P;Por;Cerofolini;Fiorentina;5;6,1;5,5;0;3;0;0;0;0;0;0;0;0
2792;P;Por;Musso;Atalanta;23;6,07;4,78;0;27;0;0;0;0;0;1;0;1
159;P;Por;Sepe;Salernitana;17;6,26;5,12;0;27;3;0;0;0;0;3;0;0
250;P;Por;Handanovic;Inter;14;6,11;4,82;0;18;0;0;0;0;0;0;0;0
509;P;Por;Consigli;Sassuolo;35;6,03;4,46;0;55;0;0;0;0;0;0;0;0
761;P;Por;Audero;Sampdoria;25;6,34;4,92;0;39;2;0;0;0;0;1;0;1
610;P;Por;Gollini;Napoli;7;6,14;5,29;0;6;0;0;0;0;0;0;0;0
673;P;Por;Perisan;Empoli;7;6,21;4,93;0;9;0;0;0;0;0;0;0;0
160;P;Por;Tatarusanu;Milan;16;5,91;4,53;0;22;0;0;0;0;0;0;0;0
1889;P;Por;Cordaz;Inter;1;7;7;0;0;0;0;0;0;0;0;0;0
5005;P;Por;Zoet;Spezia;5;6,2;5,3;0;4;0;0;0;0;0;1;0;0
5841;P;Por;Svilar;Roma;3;6;4,83;0;3;0;0;0;0;0;1;0;0
1843;P;Por;Radu I.;Cremonese;9;6,06;3,94;0;19;0;0;0;0;0;0;0;0
42;P;Por;Sarr M.;Cremonese;2;6,25;4,75;0;3;0;0;0;0;0;0;0;0
510;P;Por;Pegolo;Sassuolo;2;6,25;4,75;0;3;0;0;0;0;0;0;0;0
4977;P;Por;Ravaglia;Sampdoria;9;6,11;3,56;0;23;0;0;0;0;0;0;0;0
6135;P;Por;Turk;Sampdoria;4;6,25;4;0;9;0;0;0;0;0;0;0;0
41;P;Por;Mirante;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
