Statistiche Fantacalcio Stagione 2021 22  Italia;;;;;;;;;;;;;;;;
Id;R;Nome;Squadra;Pv;Mv;Mf;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
4312;P;Maignan;Milan;32;6,28;5,64;0;21;0;0;0;0;1;1;0;0
453;P;Szczesny;Juventus;33;6,12;5,48;0;29;3;0;0;0;0;2;0;0
2468;P;Ospina;Napoli;31;6,19;5,37;0;25;0;0;0;0;0;1;0;0
250;P;Handanovic;Inter;37;6,14;5,31;0;30;0;0;0;0;0;1;0;0
316;P;Berisha;Torino;10;6,1;5,55;0;8;1;0;0;0;0;1;0;0
4270;P;Rui Patricio;Roma;38;6,12;5,04;0;43;1;0;0;0;0;2;0;0
133;P;Skorupski;Bologna;36;6,26;4,82;0;53;1;0;0;0;0;4;0;0
1934;P;Strakosha;Lazio;23;6;4,7;0;29;0;0;0;0;0;2;0;0
2792;P;Musso;Atalanta;33;6,08;4,76;0;42;0;0;0;0;0;1;1;0
4964;P;Vicario;Empoli;38;6,42;4,72;0;70;2;0;0;0;0;1;0;0
509;P;Consigli;Sassuolo;37;6,22;4,57;0;63;1;0;0;0;0;2;0;0
761;P;Audero;Sampdoria;29;6,17;4,59;0;48;1;0;0;0;0;2;0;0
2170;P;Milinkovic-Savic V.;Torino;27;6,04;4,87;0;33;1;0;0;0;0;3;0;0
2211;P;Silvestri;Udinese;35;6,21;4,77;0;50;0;0;0;0;0;1;0;0
2815;P;Terracciano;Fiorentina;32;5,95;4,7;0;43;1;0;0;0;0;0;0;0
4957;P;Montipo';Verona;34;6,18;4,78;0;50;1;0;0;0;0;1;0;0
2178;P;Cragno;Cagliari;35;6,21;4,54;0;63;2;0;0;0;0;3;0;0
2179;P;Sirigu;Genoa;37;6,22;4,65;0;59;1;0;0;0;0;0;0;1
159;P;Sepe;Salernitana;16;6,19;4,62;0;24;0;0;0;0;0;2;0;0
2814;P;Provedel;Spezia;31;6,27;4,5;0;52;0;0;0;0;0;2;0;1
5478;P;Maenpaa;Venezia;17;6;4,44;0;27;0;0;0;0;1;1;0;0
387;P;Reina;Lazio;15;5,93;3,97;0;29;0;0;0;0;1;3;0;0
572;P;Meret;Napoli;7;5,86;5;0;6;0;0;0;0;0;0;0;0
2134;P;Falcone;Sampdoria;10;6,5;5;0;14;0;0;0;0;0;2;0;0
4;P;Sportiello;Atalanta;5;6,3;5,3;0;5;0;0;0;0;0;0;0;0
720;P;Belec;Salernitana;23;6,02;4;0;49;1;0;0;0;0;1;0;0
799;P;Bardi;Bologna;2;6,25;5,25;0;2;0;0;0;0;0;0;0;0
543;P;Padelli;Udinese;3;6,17;3,5;0;8;0;0;0;0;0;0;0;0
1917;P;Dragowski;Fiorentina;7;6,21;5,36;0;8;1;0;0;0;0;0;1;0
1930;P;Pinsoglio;Juventus;1;6,5;5,5;0;1;0;0;0;0;0;0;0;0
2861;P;Semper;Genoa;1;6,5;5,5;0;1;0;0;0;0;0;0;0;0
5528;P;Zovko;Spezia;1;6;6;0;0;0;0;0;0;0;0;0;0
3;P;Radunovic;Cagliari;3;6,33;5,67;0;5;1;0;0;0;0;0;0;0
218;P;Perin;Juventus;5;6,1;4,7;0;7;0;0;0;0;0;0;0;0
5005;P;Zoet;Spezia;7;5,79;3,5;0;19;1;0;0;0;0;0;0;0
41;P;Mirante;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
42;P;Sarr M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
158;P;Lezzerini;Venezia;6;6,17;4,5;0;9;0;0;0;0;0;2;0;0
160;P;Tatarusanu;Milan;6;6;4,83;0;10;1;0;0;0;0;0;0;0
220;P;Ujkani;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
318;P;Marchetti;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
481;P;Brignoli;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
510;P;Pegolo;Sassuolo;1;6;3;0;3;0;0;0;0;0;0;0;0
574;P;Scuffet;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
1843;P;Radu I.;Inter;1;3,5;1,5;0;2;0;0;0;0;0;0;0;0
1889;P;Cordaz;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
1946;P;Aresti;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
1947;P;Fiorillo;Salernitana;1;5,5;0,5;0;5;0;0;0;0;0;0;0;0
2091;P;Plizzari;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
2127;P;Satalino;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
2249;P;Santurro;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
2297;P;Rossi F.;Atalanta;1;6;5;0;1;0;0;0;0;0;0;0;0
2628;P;Romero S.;Venezia;16;6,03;3,91;0;33;0;0;0;0;0;2;0;0
2781;P;Fuzato;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
2790;P;Rosati;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2845;P;Contini;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
4441;P;Andrenacci;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
4491;P;Berardi A.;Verona;1;6;3;0;3;0;0;0;0;0;0;0;0
4525;P;Gemello;Torino;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
4867;P;Turati;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
4977;P;Ravaglia;Sampdoria;1;6;5;0;1;0;0;0;0;0;0;0;0
4981;P;Krapikas;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0
4996;P;Pandur;Verona;3;6;4;0;6;0;0;0;0;0;0;0;0
5304;P;Boer;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
5306;P;Alia;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
5333;P;Gasparini;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
5448;P;Furlan;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
5502;P;Adamonis;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
5518;P;Marfella;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
5521;P;Bertinato;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
5682;P;Molla;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
5704;P;Russo;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
5707;P;Piana;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
5713;P;Neri;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
4292;D;Hernandez T.;Milan;32;6,22;6,61;5;0;0;2;1;1;5;5;2;0
697;D;Cuadrado;Juventus;32;6,23;6,56;4;0;0;0;0;0;3;9;0;0
2788;D;Bremer;Torino;33;6,42;6,62;3;0;0;0;0;0;1;7;0;0
5513;D;Dumfries;Inter;32;6,23;6,78;5;0;0;0;0;0;4;3;0;0
392;D;Koulibaly;Napoli;27;6,41;6,65;3;0;0;0;0;0;1;5;1;0
4409;D;Rrahmani;Napoli;33;6,21;6,5;4;0;0;0;0;0;0;5;0;0
581;D;Faraoni;Verona;32;6,11;6,52;4;0;0;0;0;0;5;6;1;0
798;D;Skriniar;Inter;35;6,26;6,47;3;0;0;0;0;0;0;3;0;0
4998;D;Molina N.;Udinese;35;6,07;6,63;7;0;0;0;0;0;2;5;1;0
286;D;Bonucci;Juventus;23;6,09;6,72;5;0;0;3;3;0;0;1;0;0
357;D;Calabria;Milan;26;6,21;6,48;2;0;0;0;0;0;2;2;0;0
4307;D;Romero;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
4899;D;Singo;Torino;35;6,14;6,41;3;0;0;0;0;0;4;5;1;0
2816;D;Di Lorenzo;Napoli;33;6,18;6,35;1;0;0;0;0;0;4;3;0;0
4245;D;Smalling;Roma;25;6,26;6,54;3;0;0;0;0;0;0;0;0;1
4428;D;De Ligt;Juventus;31;6,26;6,52;3;0;0;0;0;0;1;2;1;0
4976;D;Kalulu;Milan;24;6,33;6,46;1;0;0;0;0;0;2;4;0;0
5355;D;Udogie;Udinese;34;6,03;6,5;5;0;0;0;0;0;3;4;0;0
253;D;D'ambrosio;Inter;16;6,19;6,38;1;0;0;0;0;0;1;2;0;0
554;D;Zappacosta;Atalanta;31;6,03;6,19;1;0;0;0;0;0;5;6;0;0
2759;D;Criscito;Genoa;20;5,98;6,68;6;0;0;7;6;1;1;4;0;0
487;D;De Silvestri;Bologna;31;6;6,24;3;0;0;0;0;0;2;7;0;0
513;D;Acerbi;Lazio;29;5,9;6,26;4;0;0;0;0;0;0;1;1;0
2120;D;Bastoni;Inter;31;6,24;6,34;1;0;0;0;0;0;2;4;0;0
2160;D;Gosens;Inter;11;6,14;6,36;1;0;0;0;0;0;1;3;0;0
4751;D;Tomori;Milan;31;6,34;6,27;0;0;0;0;0;0;0;4;0;0
4904;D;Mari';Udinese;15;6,17;6,47;2;0;0;0;0;0;0;1;1;0
5332;D;Bastoni S.;Spezia;29;6,09;6,38;3;0;0;0;0;0;3;5;1;0
142;D;Mario Rui;Napoli;34;6,04;6,09;0;0;0;0;0;0;5;7;0;0
