Voti Italia 1 giornata di campionato;;;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;;;
ATALANTA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
2792;P;MUSSO;6;0;1;0;0;0;0;1;0;0;0;0
2160;D;GOSENS;5,5;0;0;0;0;0;0;0;0;0;0;0
2181;D;PALOMINO;7;0;0;0;0;0;0;0;0;0;0;0
5375;D;MAEHLE;5,5;0;0;0;0;0;0;0;0;0;0;0
4332;D;DEMIRAL;6;0;0;0;0;0;0;1;0;0;0;0
770;D;PEZZELLA GIU.;6;0;0;0;0;0;0;0;0;0;0;0
787;D;DJIMSITI;6;0;0;0;0;0;0;0;0;0;0;0
4934;D;LOVATO;6*;0;0;0;0;0;0;0;0;0;0;0
5001;C;MIRANCHUK;6;0;0;0;0;0;0;0;0;0;0;0
2741;C;PESSINA;6;0;0;0;0;0;0;0;0;0;0;0
4427;C;MALINOVSKYI;5,5;0;0;0;0;0;0;0;0;0;0;0
2077;C;PASALIC;6,5;0;0;0;0;0;0;0;0;1;0;0
5292;A;LAMMERS;6;0;0;0;0;0;0;0;0;0;0;0
177;A;ILICIC;6;0;0;0;0;0;0;0;0;0;0;0
507;A;MURIEL;7;1;0;0;0;0;0;0;0;0;0;0
4359;A;PICCOLI;7;1;0;0;0;0;0;0;0;0;1;0
684;ALL;GASPERINI;6,5;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
133;P;SKORUPSKI;6;0;2;0;0;0;0;0;0;0;0;0
5300;D;HICKEY;5,5;0;0;0;0;0;0;0;0;0;0;0
2192;D;BONIFAZI;5,5;0;0;0;0;0;0;1;0;0;0;0
487;D;DE SILVESTRI;8;2;0;0;0;0;0;0;0;0;1;0
4415;C;SKOV OLSEN;6*;0;0;0;0;0;0;0;0;0;0;0
2154;C;VIGNATO;6;0;0;0;0;0;0;0;0;0;0;0
4869;C;DOMINGUEZ;6;0;0;0;0;0;0;0;0;0;0;0
2167;C;ORSOLINI;6;0;0;0;0;0;0;0;0;1;0;0
2625;C;SORIANO;4,5;0;0;0;0;0;0;0;1;0;0;0
272;C;MEDEL;6,5;0;0;0;0;0;0;0;0;0;0;0
2744;C;SVANBERG;6*;0;0;0;0;0;0;0;0;0;0;0
4393;C;SCHOUTEN;5;0;0;0;0;0;0;0;1;1;0;0
5446;A;VAN HOOIJDONK;6*;0;0;0;0;0;0;0;0;0;0;0
2719;A;BARROW;5;0;0;0;0;0;0;0;0;0;0;0
4268;A;ARNAUTOVIC;7;1;0;0;0;0;0;0;0;0;0;0
537;A;SANSONE;6,5;0;0;0;0;0;0;1;0;1;0;0
687;ALL;MIHAJLOVIC;6,5;0;0;0;0;0;0;0;0;0;0;0
EMPOLI;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
4964;P;VICARIO;5;0;3;0;0;0;0;0;0;0;0;0
2252;D;MARCHIZZA;5,5;0;0;0;0;0;0;0;0;0;0;0
5010;D;ISMAJLI;5,5;0;0;0;0;0;0;1;0;0;0;0
76;D;ROMAGNOLI S.;5;0;0;0;0;0;0;0;0;0;0;0
5450;D;STOJANOVIC;6,5;0;0;0;0;0;0;1;0;0;0;0
805;D;FIAMOZZI;6*;0;0;0;0;0;0;0;0;0;0;0
2161;C;HAAS;6;0;0;0;0;0;0;0;0;0;0;0
2253;C;BANDINELLI;7;1;0;0;0;0;0;0;0;0;0;0
4498;C;HENDERSON L.;6;0;0;0;0;0;0;0;0;0;0;0
2286;C;CROCIATA;6;0;0;0;0;0;0;0;0;0;0;0
4376;C;ZURKOWSKI;6;0;0;0;0;0;0;0;0;0;0;0
5451;C;BAJRAMI;7;0;0;0;0;0;0;0;0;1;0;0
5453;C;RICCI S.;6;0;0;0;0;0;0;0;0;0;0;0
5454;A;MANCUSO;6;0;0;0;0;0;0;0;0;0;0;0
4477;A;LA MANTIA;6*;0;0;0;0;0;0;0;0;0;0;0
2155;A;CUTRONE;5,5;0;0;0;0;0;0;0;0;0;0;0
2821;ALL;ANDREAZZOLI;5,5;0;0;0;0;0;0;0;0;0;0;0
FIORENTINA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
1917;P;DRAGOWSKI;4,5;0;0;0;0;0;0;0;1;0;0;0
2815;P;TERRACCIANO;6;0;3;0;0;0;0;0;0;0;0;0
4407;D;IGOR;5,5;0;0;0;0;0;0;0;0;0;0;0
2164;D;MILENKOVIC;6,5;1;0;0;0;0;0;0;0;0;0;0
2174;D;VENUTI;5;0;0;0;0;0;0;0;0;0;0;0
252;D;BIRAGHI;6;0;0;0;0;0;0;0;0;0;0;0
367;C;BONAVENTURA;6;0;0;0;0;0;0;1;0;0;0;0
2839;C;SOTTIL;6*;0;0;0;0;0;0;0;0;0;0;0
406;C;CALLEJON;6;0;0;0;0;0;0;0;0;0;0;0
557;C;BENASSI;6;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;6;0;0;0;0;0;0;1;0;1;0;0
4377;C;CASTROVILLI;5,5;0;0;0;0;0;0;0;0;0;0;0
150;C;SAPONARA;6*;0;0;0;0;0;0;0;0;0;0;0
5457;C;MALEH;5,5;0;0;0;0;0;0;0;0;0;0;0
2841;A;VLAHOVIC;5;0;0;0;0;0;0;0;0;0;0;0
4179;A;GONZALEZ N.;6,5;0;0;0;0;0;0;0;0;0;0;0
4993;ALL;ITALIANO;6;0;0;0;0;0;0;0;0;0;0;0
GENOA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
2179;P;SIRIGU;6;0;4;0;0;0;0;0;0;0;0;0
5520;D;CAMBIASO;5,5;0;0;0;0;0;0;0;0;0;0;0
2083;D;BIRASCHI;5;0;0;0;0;0;0;0;0;0;0;0
