Id,R,Nome,Squadra
408,A,HIGUAIN,Juventus
441,A,BELOTTI,Torino
277,A,ICARDI,Inter
410,A,MERTENS,Napoli
647,A,DZEKO,Roma
409,A,INSIGNE,Napoli
785,A,IMMOBILE,Lazio
309,A,DYBALA,Juventus
402,C,HAMSIK,Napoli
467,C,NAINGGOLAN,Roma
406,A,CALLEJON,Napoli
652,A,KALINIC,Milan
26,A,GOMEZ A,Atalanta
345,A,KEITA B,Lazio
704,C,PERISIC,Inter
722,A,BORRIELLO,SPAL
532,A,FALCINELLI,Sassuolo
184,C,BERNARDESCHI,Juventus
375,C,SUSO,Milan
282,P,BUFFON,Juventus
568,A,QUAGLIARELLA,Sampdoria
1974,A,SCHICK,Sampdoria
312,A,MANDZUKIC,Juventus
2200,C,DOUGLAS COSTA,Juventus
469,C,PJANIC,Juventus
335,C,FELIPE ANDERSON,Lazio
152,C,ZIELINSKI,Napoli
636,A,PAZZINI,Verona
478,A,LJAJIC,Torino
531,A,BERARDI,Sassuolo
2012,A,MILIK,Napoli
350,P,DONNARUMMA G,Milan
376,C,VERDI,Bologna
2306,C,MATUIDI,Juventus
606,A,THEREAU,Udinese
2175,A,ANDRE' SILVA,Milan
1939,A,LAPADULA,Genoa
2061,A,SIMEONE,Fiorentina
123,A,INGLESE,Chievo
472,A,DESTRO,Bologna
387,P,REINA,Napoli
332,C,CANDREVA,Inter
367,C,BONAVENTURA,Milan
2194,C,CALHANOGLU,Milan
237,C,PEROTTI,Roma
475,A,IAGO FALQUE,Torino
643,A,DEFREL,Roma
795,A,EL SHAARAWY,Roma
608,A,ZAPATA D,Napoli
250,P,HANDANOVIC,Inter
2169,D,RODRIGUEZ R,Milan
662,D,ALEX SANDRO,Juventus
1847,D,CALDARA,Atalanta
1874,C,JOAO PEDRO,Cagliari
111,C,BIRSA,Chievo
299,C,KHEDIRA,Juventus
645,C,MILINKOVIC-SAVIC,Lazio
2287,C,RAMIREZ,Sampdoria
2283,A,BAJIC,Udinese
383,A,PETAGNA,Atalanta
1964,P,ALISSON,Roma
513,D,ACERBI,Sassuolo
2214,D,KOLAROV,Roma
392,D,KOULIBALY,Napoli
286,D,BONUCCI,Milan
11,D,CONTI,Milan
322,D,DE VRIJ,Lazio
288,D,CHIELLINI,Juventus
2002,C,CHIESA,Fiorentina
1850,C,KESSIE',Milan
470,C,STROOTMAN,Roma
378,A,CERCI,Verona
536,A,POLITANO,Sassuolo
1958,A,CAPRARI,Sampdoria
1934,P,STRAKOSHA,Lazio
177,C,ILICIC,Atalanta
697,C,CUADRADO,Juventus
338,C,LULIC,Lazio
1996,C,DE PAUL,Udinese
1986,C,FOFANA,Udinese
2290,C,EYSSERIC,Fiorentina
278,A,JOVETIC,Inter
90,A,LASAGNA,Udinese
126,A,PALOSCHI,SPAL
183,A,BABACAR,Fiorentina
1882,A,SAU,Cagliari
316,P,BERISHA,Atalanta
459,D,MANOLAS,Roma
