ID,R,Nome,Squadra
104,P,BERISHA E.,ATALANTA
120,P,GOLLINI P.,ATALANTA
146,P,ROSSI F.,ATALANTA
203,D,ADNAN A.,ATALANTA
221,D,BETTELLA D.,ATALANTA
237,D,CASTAGNE T.,ATALANTA
280,D,GOSENS R.,ATALANTA
283,D,HATEBOER H.,ATALANTA
312,D,MANCINI G.,ATALANTA
319,D,MASIELLO A.,ATALANTA
332,D,PALOMINO J.,ATALANTA
345,D,RECA A.,ATALANTA
372,D,TOLOI R.,ATALANTA
378,D,VARNIER M.,ATALANTA
410,D,DJIMSITI B.,ATALANTA
554,C,DE ROON M.,ATALANTA
575,C,FREULER R.,ATALANTA
603,C,KULUSEVSKI D.,ATALANTA
640,C,PESSINA M.,ATALANTA
676,C,VALZANIA L.,ATALANTA
693,C,PASALIC M.,ATALANTA
711,C,RIGONI E.,ATALANTA
712,C,COLPANI A.,ATALANTA
808,A,BARROW M.,ATALANTA
849,A,GOMEZ A.,ATALANTA
855,A,ILICIC J.,ATALANTA
921,A,TUMMINELLO M.,ATALANTA
928,A,ZAPATA D.,ATALANTA
109,P,DA COSTA A.,BOLOGNA
147,P,SANTURRO A.,BOLOGNA
153,P,SKORUPSKI L.,BOLOGNA
232,D,CALABRESI A.,BOLOGNA
252,D,DANILO L.,BOLOGNA
253,D,DE MAIO S.,BOLOGNA
261,D,DIJKS M.,BOLOGNA
279,D,GONZALEZ G.,BOLOGNA
284,D,HELANDER F.,BOLOGNA
320,D,MBAYE I.,BOLOGNA
334,D,PAZ N.,BOLOGNA
389,D,MATTIELLO F.,BOLOGNA
403,D,CORBO G.,BOLOGNA
563,C,DONSAH G.,BOLOGNA
566,C,DZEMAILI B.,BOLOGNA
601,C,KREJCI L.,BOLOGNA
628,C,NAGY A.,BOLOGNA
642,C,POLI A.,BOLOGNA
645,C,PULGAR E.,BOLOGNA
670,C,SVANBERG M.,BOLOGNA
674,C,VALENCIA J.,BOLOGNA
829,A,DESTRO M.,BOLOGNA
839,A,FALCINELLI D.,BOLOGNA
888,A,OKWONKWO O.,BOLOGNA
