Quotazioni Fantacalcio Stagione 2022 23;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
4312;P;Por;Maignan;Milan;18;18;0;18;18;0;81;81
250;P;Por;Handanovic;Inter;16;16;0;16;16;0;60;60
453;P;Por;Szczesny;Juventus;16;16;0;16;16;0;65;65
572;P;Por;Meret;Napoli;14;14;0;14;14;0;44;44
4270;P;Por;Rui Patricio;Roma;14;14;0;14;14;0;48;48
2792;P;Por;Musso;Atalanta;13;13;0;13;13;0;37;37
610;P;Por;Gollini;Fiorentina;12;12;0;12;12;0;32;32
5832;P;Por;Luis Maximiano;Lazio;12;12;0;12;12;0;35;35
133;P;Por;Skorupski;Bologna;11;11;0;11;11;0;20;20
316;P;Por;Berisha;Torino;11;11;0;11;11;0;18;18
509;P;Por;Consigli;Sassuolo;11;11;0;11;11;0;23;23
2178;P;Por;Cragno;Monza;11;11;0;11;11;0;25;25
4957;P;Por;Montipo';Verona;11;11;0;11;11;0;22;22
761;P;Por;Audero;Sampdoria;10;10;0;10;10;0;17;17
2211;P;Por;Silvestri;Udinese;10;10;0;10;10;0;22;22
4964;P;Por;Vicario;Empoli;9;9;0;9;9;0;17;17
159;P;Por;Sepe;Salernitana;8;8;0;8;8;0;14;14
2814;P;Por;Provedel;Spezia;7;7;0;7;7;0;13;13
1843;P;Por;Radu I.;Cremonese;5;5;0;5;5;0;10;10
2134;P;Por;Falcone;Lecce;5;5;0;5;5;0;12;12
4;P;Por;Sportiello;Atalanta;1;1;0;1;1;0;1;1
41;P;Por;Mirante;Milan;1;1;0;1;1;0;1;1
42;P;Por;Sarr M.;Cremonese;1;1;0;1;1;0;1;1
160;P;Por;Tatarusanu;Milan;1;1;0;1;1;0;1;1
217;P;Por;Lamanna;Monza;1;1;0;1;1;0;1;1
218;P;Por;Perin;Juventus;1;1;0;1;1;0;5;5
510;P;Por;Pegolo;Sassuolo;1;1;0;1;1;0;1;1
543;P;Por;Padelli;Udinese;1;1;0;1;1;0;1;1
673;P;Por;Perisan;Empoli;1;1;0;1;1;0;1;1
799;P;Por;Bardi;Bologna;1;1;0;1;1;0;1;1
1889;P;Por;Cordaz;Inter;1;1;0;1;1;0;1;1
1930;P;Por;Pinsoglio;Juventus;1;1;0;1;1;0;1;1
1947;P;Por;Fiorillo;Salernitana;1;1;0;1;1;0;1;1
2127;P;Por;Satalino;Sassuolo;1;1;0;1;1;0;1;1
2170;P;Por;Milinkovic-Savic V.;Torino;1;1;0;1;1;0;8;8
2297;P;Por;Rossi F.;Atalanta;1;1;0;1;1;0;1;1
2790;P;Por;Rosati;Fiorentina;1;1;0;1;1;0;1;1
2815;P;Por;Terracciano;Fiorentina;1;1;0;1;1;0;5;5
2845;P;Por;Contini;Napoli;1;1;0;1;1;0;1;1
4351;P;Por;Brancolini;Lecce;1;1;0;1;1;0;1;1
4431;P;Por;Carnesecchi;Atalanta;1;1;0;1;1;0;6;6
4468;P;Por;Bleve;Lecce;1;1;0;1;1;0;1;1
4491;P;Por;Berardi A.;Verona;1;1;0;1;1;0;1;1
4525;P;Por;Gemello;Torino;1;1;0;1;1;0;1;1
4977;P;Por;Ravaglia;Sampdoria;1;1;0;1;1;0;1;1
5005;P;Por;Zoet;Spezia;1;1;0;1;1;0;1;1
5304;P;Por;Boer;Roma;1;1;0;1;1;0;1;1
5333;P;Por;Gasparini;Udinese;1;1;0;1;1;0;1;1
5448;P;Por;Furlan;Empoli;1;1;0;1;1;0;1;1
5502;P;Por;Adamonis;Lazio;1;1;0;1;1;0;1;1
5518;P;Por;Marfella;Napoli;1;1;0;1;1;0;1;1
5528;P;Por;Zovko;Spezia;1;1;0;1;1;0;1;1
5682;P;Por;Molla;Bologna;1;1;0;1;1;0;1;1
5704;P;Por;Russo;Salernitana;1;1;0;1;1;0;1;1
5830;P;Por;Onana;Inter;1;1;0;1;1;0;13;13
5841;P;Por;Svilar;Roma;1;1;0;1;1;0;1;1
5853;P;Por;Sorrentino A.;Monza;1;1;0;1;1;0;1;1
5876;P;Por;Di Gregorio;Monza;1;1;0;1;1;0;1;1
5887;P;Por;Ciezkowski;Cremonese;1;1;0;1;1;0;1;1
5889;P;Por;Micai;Salernitana;1;1;0;1;1;0;1;1
5890;P;Por;Chiesa M.;Verona;1;1;0;1;1;0;1;1
4292;D;"Ds;E";Hernandez T.;Milan;20;20;0;22;22;0;84;84
5513;D;E;Dumfries;Inter;20;20;0;19;19;0;77;68
2160;D;E;Gosens;Inter;19;19;0;18;18;0;62;56
2788;D;Dc;Bremer;Juventus;18;18;0;18;18;0;53;54
798;D;Dc;Skriniar;Inter;17;17;0;16;16;0;50;51
286;D;Dc;Bonucci;Juventus;15;15;0;15;15;0;32;33
