Quotazioni Fantacalcio Stagione 2023 24;;;;;;;;;;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M;offerta massima;fascia;indice squadra;titolarita;rigori;punizioni;angoli;note;Check su altro file 
1946;P;Por;Aresti;Cagliari;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
761;P;Por;Audero;Inter;1;1;0;1;1;0;1;1;0;;2;2;;;;;KO
5822;P;Por;Bagnolini;Bologna;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
4491;P;Por;Berardi A.;Verona;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
316;P;Por;Berisha;Empoli;3;1;2;3;1;2;5;5;2;5;2;1;;;;;KO
5304;P;Por;Boer;Roma;1;1;0;1;1;0;1;1;0;;2;2;;;;;KO
6406;P;Por;Borbei;Lecce;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
4351;P;Por;Brancolini;Lecce;1;1;0;1;1;0;1;1;0;;2;2;;;;;KO
4360;P;Por;Caprile;Empoli;6;7;-1;6;7;-1;10;10;4;5;1;8;;;;Caviglia (Settembre-Ottobre);KO
4431;P;Por;Carnesecchi;Atalanta;10;11;-1;10;11;-1;10;16;4;5;2;5;;;;;KO
2294;P;Por;Cerofolini;Frosinone;2;1;1;2;1;1;1;1;0;;2;1;;;;;KO
6403;P;Por;Christensen O.;Fiorentina;2;3;-1;2;3;-1;16;16;6;4;2;4;;;;;KO
509;P;Por;Consigli;Sassuolo;5;5;0;5;5;0;15;15;6;4;1;8;;;;;KO
2845;P;Por;Contini;Napoli;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
2338;P;Por;Costil;Salernitana;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
2178;P;Por;Cragno;Sassuolo;3;4;-1;3;4;-1;8;8;3;5;2;4;;;;;KO
1926;P;Por;Di Gennaro;Inter;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
5876;P;Por;Di Gregorio;Monza;12;12;0;12;12;0;37;37;15;3;1;8;;;;;KO
2134;P;Por;Falcone;Lecce;9;8;1;9;8;1;22;22;9;4;1;9;;;;sorpr;KO
1947;P;Por;Fiorillo;Salernitana;1;1;0;1;1;0;1;1;0;;2;1;;;;;KO
2799;P;Por;Frattali;Frosinone;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
4525;P;Por;Gemello;Torino;1;1;0;1;1;0;1;1;0;;2;1;;;;;KO
610;P;Por;Gollini;Napoli;1;1;0;1;1;0;1;1;0;;2;2;;;;;KO
6255;P;Por;Gori;Monza;1;1;0;1;1;0;1;1;0;;4;1;;;;;KO
217;P;Por;Lamanna;Monza;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
188;P;Por;Leali;Genoa;1;1;0;1;1;0;1;1;0;;2;1;;;;;KO
4312;P;Por;Maignan;Milan;17;17;0;17;17;0;89;89;36;1;1;9;;;;;KO
6482;P;Por;Mandas;Lazio;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
6184;P;Por;Martinelli T.;Fiorentina;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
5116;P;Por;Martinez Jo.;Genoa;8;8;0;8;8;0;17;17;7;4;1;8;;;;;KO
572;P;Por;Meret;Napoli;16;17;-1;16;17;-1;80;80;32;2;1;8;;;;;KO
2170;P;Por;Milinkovic-Savic V.;Torino;10;10;0;10;10;0;31;31;12;3;1;8;;;;;KO
41;P;Por;Mirante;Milan;1;1;0;1;1;0;1;1;0;;3;1;;;;;KO
