Voti Italia 2 giornata di campionato;;;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;;;
ATALANTA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
2792;P;MUSSO;6;0;0;0;0;0;0;0;0;0;0;0
5375;D;MAEHLE;6;0;0;0;0;0;0;0;0;0;0;0
2160;D;GOSENS;6;0;0;0;0;0;0;1;0;0;0;0
2181;D;PALOMINO;6,5;0;0;0;0;0;0;1;0;0;0;0
554;D;ZAPPACOSTA;6*;0;0;0;0;0;0;0;0;0;0;0
695;D;TOLOI;6;0;0;0;0;0;0;0;0;0;0;0
787;D;DJIMSITI;6,5;0;0;0;0;0;0;0;0;0;0;0
2741;C;PESSINA;6;0;0;0;0;0;0;0;0;0;0;0
4427;C;MALINOVSKYI;5,5;0;0;0;0;0;0;0;0;0;0;0
5001;C;MIRANCHUK;6;0;0;0;0;0;0;0;0;0;0;0
788;C;FREULER;6,5;0;0;0;0;0;0;0;0;0;0;0
2077;C;PASALIC;5,5;0;0;0;0;0;0;0;0;0;0;0
177;A;ILICIC;5,5;0;0;0;0;0;0;0;0;0;0;0
507;A;MURIEL;5,5;0;0;0;0;0;0;0;0;0;0;0
4359;A;PICCOLI;5,5;0;0;0;0;0;0;0;0;0;0;0
5292;A;LAMMERS;6*;0;0;0;0;0;0;0;0;0;0;0
684;ALL;GASPERINI;5,5;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
133;P;SKORUPSKI;6,5;0;0;0;0;0;0;0;0;0;0;0
5300;D;HICKEY;6,5;0;0;0;0;0;0;1;0;0;0;0
2192;D;BONIFAZI;6,5;0;0;0;0;0;0;0;0;0;0;0
487;D;DE SILVESTRI;6,5;0;0;0;0;0;0;0;0;0;0;0
4422;D;TOMIYASU;6*;0;0;0;0;0;0;0;0;0;0;0
4891;D;SOUMAORO;6*;0;0;0;0;0;0;0;0;0;0;0
2744;C;SVANBERG;5,5;0;0;0;0;0;0;1;0;0;0;0
272;C;MEDEL;7;0;0;0;0;0;0;1;0;0;0;0
2835;C;KINGSLEY;5;0;0;0;0;0;0;0;0;0;0;0
4415;C;SKOV OLSEN;6;0;0;0;0;0;0;0;0;0;0;0
2154;C;VIGNATO;6;0;0;0;0;0;0;0;0;0;0;0
4869;C;DOMINGUEZ;6,5;0;0;0;0;0;0;0;0;0;0;0
2167;C;ORSOLINI;5,5;0;0;0;0;0;0;0;0;0;0;0
4268;A;ARNAUTOVIC;6;0;0;0;0;0;0;1;0;0;0;0
537;A;SANSONE;6;0;0;0;0;0;0;1;0;0;0;0
687;ALL;MIHAJLOVIC;7;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Gdv;Gdp
3;P;RADUNOVIC;5,5;0;4;0;0;0;0;0;0;0;0;0
4925;D;CARBONI;5;0;0;0;0;0;0;0;0;0;0;0
2289;D;DALBERT;5;0;0;0;0;0;0;1;0;0;0;0
2572;D;GODIN;5;0;0;0;0;0;0;1;0;0;0;0
2653;D;LYKOGIANNIS;6;0;0;0;0;0;0;0;0;0;0;0
1866;D;CEPPITELLI;5;0;0;0;0;0;0;0;0;0;0;0
4461;D;ZAPPA;5,5;0;0;0;0;0;0;0;0;0;0;0
4886;C;PEREIRO;6*;0;0;0;0;0;0;0;0;0;0;0
4965;C;MARIN;5,5;0;0;0;0;0;0;0;0;0;0;0
470;C;STROOTMAN;5;0;0;0;0;0;0;1;0;0;0;0
1871;C;DEIOLA;6,5;1;0;0;0;0;0;1;0;0;0;0
4514;C;NANDEZ;5,5;0;0;0;0;0;0;1;0;0;0;0
1879;A;FARIAS;5,5;0;0;0;0;0;0;0;0;0;0;0
247;A;PAVOLETTI;5;0;0;0;0;0;0;0;0;0;0;0
2654;A;CETER;6*;0;0;0;0;0;0;0;0;0;0;0
1874;A;JOAO PEDRO;6;0;0;0;0;0;0;0;0;1;0;0
2269;ALL;SEMPLICI;4,5;0;0;0;0;0;0;0;0;0;0;0
EMPOLI;;;;;;;;;;;;;;
